"","WEEK","Year","value"
"1",128,1992,123687.6
"2",129,1992,117067.13
"3",130,1992,112779.84
"4",131,1992,129243.49
"5",132,1992,117808.52
"6",133,1992,122548.82
"7",134,1992,111820.75
"8",135,1992,115866.33
"9",136,1992,115577.88
"10",137,1992,112473.1
"11",138,1992,109764.63
"12",139,1992,108938.66
"13",140,1992,128710.95
"14",141,1992,124875.97
"15",142,1992,125591.49
"16",143,1992,106036
"17",144,1992,122296.18
"18",145,1992,108019.58
"19",146,1992,107335.13
"20",147,1992,130790.61
"21",148,1992,118869.41
"22",149,1992,122111.17
"23",150,1992,116341.93
"24",151,1992,113301.49
"25",152,1992,116792.45
"26",153,1992,125729
"27",154,1992,111518.56
"28",155,1992,117335.24
"29",156,1992,114119.28
"30",157,1992,110479.82
"31",158,1992,117495.74
"32",159,1992,111222.25
"33",160,1992,111556.21
"34",161,1992,112602.55
"35",162,1992,124341.165
"36",163,1992,119434.85
"37",164,1992,122098.2
"38",165,1992,109394.19
"39",166,1992,106556.67
"40",167,1992,126151.52
"41",168,1992,99411.48
"42",169,1992,108714.9
"43",170,1992,113484.62
"44",171,1992,110893.57
"45",172,1992,106424.22
"46",173,1992,130374.77
"47",174,1993,124942.01
"48",175,1993,131150.99
"49",176,1993,124394.02
"50",177,1993,126080.07
"51",178,1993,112638.37
"52",179,1993,131846.83
"53",180,1993,112932.87
"54",181,1993,125357.42
"55",182,1993,114010.14
"56",183,1993,119867.06
"57",184,1993,102859.95
"58",185,1993,104088.64
"59",186,1993,106572.17
"60",187,1993,104691.83
"61",188,1993,106193.71
"62",189,1993,118230.2
"63",190,1993,111187.03
"64",191,1993,107110.94
"65",192,1993,114809.12
"66",193,1993,110150.92
"67",194,1993,108903.4
"68",195,1993,108335.03
"69",196,1993,118739.32
"70",197,1993,116346.97
"71",198,1993,119783.23
"72",199,1993,114415.52
"73",200,1993,109039.76
"74",201,1993,108188.95
"75",202,1993,112831.49
"76",203,1993,107141.77
"77",204,1993,105695.39
"78",205,1993,113906.58
"79",206,1993,105393.3
"80",207,1993,104206.49
"81",208,1993,100317.75
"82",209,1993,107987.88
"83",210,1993,108739.93
"84",211,1993,84885.36
"85",212,1993,107582.19
"86",213,1993,106189.27
"87",214,1993,101737.08
"88",215,1993,106610.03
"89",216,1993,107243.61
"90",217,1993,115484.43
"91",218,1993,116726.06
"92",220,1993,95959.95
"93",221,1993,107705.44
"94",222,1993,102330.65
"95",223,1993,111842.06
"96",224,1993,98900.94
"97",225,1993,126242.45
"98",226,1994,121903.54
"99",227,1994,125549.69
"100",228,1994,118862.06
"101",229,1994,113739.11
"102",230,1994,117001.42
"103",231,1994,112014.9
"104",232,1994,117001.42
"105",233,1994,112014.9
"106",234,1994,112488.08
"107",235,1994,114213.01
"108",236,1994,115658.06
"109",237,1994,108091.38
"110",238,1994,108861.73
"111",239,1994,104964.69
"112",240,1994,112813.79
"113",241,1994,112971.06
"114",242,1994,116803.84
"115",243,1994,108440.61
"116",244,1994,117758.65
"117",245,1994,103510.43
"118",246,1994,107000.04
"119",247,1994,118245.62
"120",248,1994,109427.74
"121",249,1994,115084.46
"122",250,1994,125068.63
"123",251,1994,131344.67
"124",252,1994,129274.94
"125",253,1994,127220.89
"126",254,1994,103957.3
"127",255,1994,113972.81
"128",256,1994,103764.58
"129",257,1994,110421.25
"130",258,1994,102388.45
"131",259,1994,107655.52
"132",260,1994,105307.47
"133",261,1994,111797.02
"134",266,1994,112994.59
"135",267,1994,109707.67
"136",268,1994,117141.49
"137",269,1994,110167.32
"138",270,1994,105283.26
"139",271,1994,117776.83
"140",272,1994,107490.37
"141",273,1994,155453.6
"142",274,1994,115628
"143",275,1994,123379.79
"144",276,1994,119948.84
"145",277,1994,158917.02
"146",278,1995,180697.51
"147",279,1995,151317.91
"148",280,1995,104674.81
"149",281,1995,140975.12
"150",282,1995,161859.78
"151",283,1995,132883.77
"152",336,1996,123369.52
"153",337,1996,109178.54
"154",338,1996,143436.98
"155",339,1996,147147.45
"156",340,1996,154121.5
"157",341,1996,141416.44
"158",342,1996,141856.65
"159",343,1996,133699.94
"160",344,1996,159244.47
"161",345,1996,174904.69
"162",346,1996,114873.47
"163",347,1996,115470.37
"164",348,1996,122118.1
"165",349,1996,131083.82
"166",350,1996,145637.5
"167",351,1996,114127.58
"168",352,1996,124634.19
"169",353,1996,129082.82
"170",354,1996,156322.45
"171",355,1996,165951.52
"172",356,1996,142821.56
"173",357,1996,172751.3
"174",358,1996,134234.74
"175",359,1996,137541.18
"176",360,1996,134206.04
"177",361,1996,136534.14
"178",362,1996,146352.88
"179",363,1996,147584.78
"180",364,1996,152149
"181",365,1996,150024.45
"182",366,1996,184246.97
"183",367,1996,150437.17
"184",368,1996,152048.15
"185",369,1996,146813.94
"186",370,1996,153690.11
"187",371,1996,149199.45
"188",372,1996,155068.96
"189",373,1996,155068.96
"190",374,1996,147414.84
"191",375,1996,146700.49
"192",376,1996,148965.06
"193",377,1996,158193.1
"194",378,1996,124461.47
"195",379,1996,149916.28
"196",380,1996,139686.38
"197",381,1996,149539.46
"198",382,1997,209615.42
"199",383,1997,175395.48
"200",384,1997,183136.18
"201",385,1997,150667.32
"202",386,1997,185624.23
"203",387,1997,167434.68
"204",388,1997,170840.2
"205",389,1997,166773.69
"206",390,1997,147881.12
"207",391,1997,177752.01
"208",392,1997,203654.97
"209",393,1997,187783.17
"210",394,1997,151050.93
"211",395,1997,151050.93
"212",396,1997,181396.62
"213",397,1997,213265.34
"214",398,1997,205457.46
"215",399,1997,147078.38
